minute,event,team_player_id,match_id
70,yellow card,10.0,366
45+3,yellow card,13.0,366
28,yellow card,27.0,366
14,yellow card,5.0,366
90+2,red card,6.0,366
87,corner,6.0,366
84,corner,24.0,366
83,corner,9.0,366
71,corner,1.0,366
66,corner,25.0,366
58,corner,35.0,366
55,corner,7.0,366
51,corner,25.0,366
33,corner,3.0,366
19,corner,5.0,366
19,corner,9.0,366
7,corner,1.0,366
80,goal,4.0,366
80,assist,12.0,366
33,goal,36.0,366
33,assist,26.0,366
59,offside,6.0,366
40,offside,9.0,366
32,offside,13.0,366
85,sub on,11.0,366
85,sub off,10.0,366
78,sub on,37.0,366
78,sub off,36.0,366
74,sub on,31.0,366
74,sub off,30.0,366
62,sub on,33.0,366
62,sub off,32.0,366
61,sub on,4.0,366
61,sub off,3.0,366
45,sub on,6.0,366
45,sub off,5.0,366
90+3,yellow card,64.0,341
82,yellow card,50.0,341
71,yellow card,45.0,341
68,yellow card,66.0,341
49,yellow card,69.0,341
34,yellow card,48.0,341
80,corner,74.0,341
54,corner,65.0,341
52,corner,52.0,341
49,corner,63.0,341
44,corner,50.0,341
41,corner,65.0,341
38,corner,64.0,341
16,corner,70.0,341
14,corner,43.0,341
17,goal,66.0,341
37,offside,71.0,341
89,sub on,72.0,341
89,sub off,71.0,341
85,sub on,51.0,341
85,sub off,50.0,341
79,sub on,67.0,341
79,sub off,66.0,341
78,sub on,53.0,341
78,sub off,52.0,341
70,sub on,74.0,341
70,sub off,,341
80,yellow card,109.0,326
90+3,corner,88.0,326
90+2,corner,102.0,326
90+1,corner,88.0,326
90,corner,81.0,326
84,corner,84.0,326
75,corner,107.0,326
75,corner,102.0,326
64,corner,101.0,326
61,corner,82.0,326
59,corner,105.0,326
57,corner,103.0,326
55,corner,88.0,326
54,corner,84.0,326
46,corner,104.0,326
37,corner,104.0,326
21,corner,108.0,326
20,corner,82.0,326
6,goal,105.0,326
53,own goal,103.0,326
74,offside,110.0,326
49,offside,93.0,326
35,offside,92.0,326
34,offside,110.0,326
26,offside,114.0,326
22,offside,84.0,326
3,offside,84.0,326
87,sub on,91.0,326
87,sub off,90.0,326
80,sub on,111.0,326
80,sub off,110.0,326
74,sub on,94.0,326
74,sub off,93.0,326
73,sub on,109.0,326
73,sub off,108.0,326
66,sub on,113.0,326
66,sub off,112.0,326
65,sub on,87.0,326
65,sub off,86.0,326
86,yellow card,135.0,300
77,yellow card,151.0,300
59,yellow card,146.0,300
41,yellow card,128.0,300
88,corner,127.0,300
78,corner,145.0,300
75,corner,148.0,300
71,corner,146.0,300
56,corner,127.0,300
53,corner,134.0,300
51,corner,124.0,300
45+2,corner,144.0,300
34,corner,126.0,300
28,corner,148.0,300
25,corner,126.0,300
25,corner,125.0,300
84,goal,137.0,300
84,assist,133.0,300
39,goal,153.0,300
39,assist,150.0,300
87,offside,145.0,300
16,offside,135.0,300
14,offside,136.0,300
84,sub on,149.0,300
84,sub off,148.0,300
76,sub on,156.0,300
76,sub off,155.0,300
66,sub on,137.0,300
66,sub off,136.0,300
61,sub on,133.0,300
61,sub off,132.0,300
25,sub on,131.0,300
25,sub off,130.0,300
87,corner,169.0,281
81,corner,196.0,281
79,corner,187.0,281
62,corner,190.0,281
48,corner,186.0,281
43,corner,170.0,281
9,corner,169.0,281
72,goal,176.0,281
72,assist,180.0,281
56,offside,175.0,281
14,offside,175.0,281
84,sub on,179.0,281
84,sub off,178.0,281
80,sub on,188.0,281
80,sub off,187.0,281
80,sub on,192.0,281
80,sub off,191.0,281
79,sub on,196.0,281
79,sub off,,281
69,sub on,176.0,281
69,sub off,175.0,281
61,sub on,171.0,281
61,sub off,170.0,281
53,yellow card,231.0,260
50,yellow card,241.0,260
27,yellow card,234.0,260
69,corner,237.0,260
32,corner,238.0,260
30,corner,237.0,260
17,corner,232.0,260
5,corner,238.0,260
84,goal,236.0,260
84,assist,,260
39,goal,216.0,260
11,goal,216.0,260
62,offside,241.0,260
28,offside,241.0,260
80,sub on,217.0,260
80,sub off,216.0,260
