Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HF,AF,HC,AC,HY,AY,HR,AR,Season
2018-08-18,Chievo Verona,Juventus,2,3,A,7,9,0,8,2,0,0,0,2018
2018-08-18,Lazio,Napoli,1,2,A,8,5,4,7,0,0,0,0,2018
2018-08-19,Bologna,SPAL,0,1,A,16,11,7,0,4,2,1,0,2018
2018-08-19,Empoli,Cagliari,2,0,H,19,19,6,6,3,3,0,0,2018
2018-08-19,Parma,Udinese,2,2,D,10,13,4,5,2,2,0,0,2018
2018-08-19,Sassuolo,Internazionale,1,0,H,23,11,4,4,3,2,0,0,2018
2018-08-19,Torino,AS Roma,0,1,A,10,14,6,5,1,3,0,0,2018
2018-08-20,Atalanta,Frosinone,4,0,H,14,10,4,4,0,2,0,0,2018
2018-08-25,Juventus,Lazio,2,0,H,12,13,6,2,3,2,0,0,2018
2018-08-25,Napoli,AC Milan,3,2,H,12,9,5,1,2,2,0,0,2018
2018-08-26,Cagliari,Sassuolo,2,2,D,14,14,7,2,4,4,0,1,2018
2018-08-26,Fiorentina,Chievo Verona,6,1,H,14,8,2,3,1,3,0,0,2018
2018-08-26,Frosinone,Bologna,0,0,D,15,12,2,5,2,1,0,0,2018
2018-08-26,Genoa,Empoli,2,1,H,14,15,3,6,3,2,0,0,2018
2018-08-26,Internazionale,Torino,2,2,D,16,12,5,4,1,2,0,0,2018
2018-08-26,SPAL,Parma,1,0,H,13,14,7,2,5,2,0,0,2018
2018-08-26,Udinese,Sampdoria,1,0,H,6,10,8,7,1,3,0,0,2018
2018-08-27,AS Roma,Atalanta,3,3,D,9,13,3,11,1,1,0,0,2018
2018-08-31,AC Milan,AS Roma,2,1,H,8,6,8,3,0,2,0,0,2018
2018-01-09,Bologna,Internazionale,0,3,A,7,10,3,7,1,1,0,0,2018
2018-01-09,Parma,Juventus,1,2,A,15,9,4,7,1,3,0,0,2018
2018-02-09,Atalanta,Cagliari,0,1,A,16,20,5,4,2,2,0,0,2018
2018-02-09,Chievo Verona,Empoli,0,0,D,10,11,4,6,1,1,0,0,2018
2018-02-09,Fiorentina,Udinese,1,0,H,10,15,11,4,3,1,0,0,2018
2018-02-09,Lazio,Frosinone,1,0,H,11,8,7,7,1,2,0,0,2018
2018-02-09,Sampdoria,Napoli,3,0,H,13,19,4,5,2,4,0,0,2018
2018-02-09,Sassuolo,Genoa,5,3,H,12,20,2,10,3,3,0,0,2018
2018-02-09,Torino,SPAL,1,0,H,16,16,9,10,1,2,0,0,2018
2018-09-15,Frosinone,Sampdoria,0,5,A,12,15,5,3,3,1,0,0,2018
2018-09-15,Internazionale,Parma,0,1,A,10,8,10,1,2,2,0,0,2018
2018-09-15,Napoli,Fiorentina,1,0,H,13,15,10,3,1,4,0,0,2018
2018-09-16,Cagliari,AC Milan,1,1,D,12,13,3,8,1,1,0,0,2018
2018-09-16,Empoli,Lazio,0,1,A,13,11,4,7,2,3,0,0,2018
2018-09-16,Genoa,Bologna,1,0,H,13,19,5,3,2,5,0,1,2018
2018-09-16,Juventus,Sassuolo,2,1,H,12,13,10,4,3,3,1,0,2018
2018-09-16,AS Roma,Chievo Verona,2,2,D,10,15,9,2,1,1,0,0,2018
2018-09-16,Udinese,Torino,1,1,D,16,14,3,8,2,2,0,0,2018
2018-09-17,SPAL,Atalanta,2,0,H,14,16,4,4,3,5,0,0,2018
