name,position,birth_date,nationality,number,season
Wojciech Szczesny,Goalkeeper,1990-04-18,Poland,1,2018
Mattia Perin,Goalkeeper,1992-11-10,Italy,22,2018
Carlo Pinsoglio,Goalkeeper,1990-03-16,Italy,21,2018
Mattia Del Favero,Goalkeeper,1998-06-05,Italy,32,2018
Leonardo Bonucci,Centre-Back,1987-05-01,Italy,19,2018
Daniele Rugani,Centre-Back,1994-07-29,Italy,24,2018
Medhi Benatia,Centre-Back,1987-04-17,Morocco,4,2018
Giorgio Chiellini,Centre-Back,1984-08-14,Italy,3,2018
Martín Cáceres,Centre-Back,1987-04-07,Uruguay,4,2018
Andrea Barzagli,Centre-Back,1981-05-08,Italy,15,2018
Luca Coccolo,Centre-Back,1998-02-23,Italy,38,2018
Paolo Gozzi,Centre-Back,2001-04-25,Italy,43,2018
Alex Sandro,Left-Back,1991-01-26,Brazil,12,2018
Leonardo Spinazzola,Left-Back,1993-03-25,Italy,37,2018
João Cancelo,Right-Back,1994-05-27,Portugal,20,2018
Juan Cuadrado,Right-Back,1988-05-26,Colombia,16,2018
Mattia De Sciglio,Right-Back,1992-10-20,Italy,2,2018
Emre Can,Defensive Midfield,1994-01-12,Germany,23,2018
Miralem Pjanic,Central Midfield,1990-04-02,Bosnia-Herzegovina,5,2018
Rodrigo Bentancur,Central Midfield,1997-06-25,Uruguay,30,2018
Blaise Matuidi,Central Midfield,1987-04-09,France,14,2018
Sami Khedira,Central Midfield,1987-04-04,Germany,6,2018
Hans Nicolussi Caviglia,Central Midfield,2000-06-18,Italy,41,2018
Grigoris Kastanos,Central Midfield,1998-01-30,Cyprus,39,2018
Simone Muratore,Central Midfield,1998-05-30,Italy,36,2018
Manolo Portanova,Attacking Midfield,2000-06-02,Italy,34,2018
Matheus Pereira,Attacking Midfield,1998-02-25,Brazil,35,2018
Nicolò Fagioli,Attacking Midfield,2001-02-12,Italy,44,2018
Douglas Costa,Left Winger,1990-09-14,Brazil,11,2018
Stephy Mavididi,Left Winger,1998-05-31,England,40,2018
Federico Bernardeschi,Right Winger,1994-02-16,Italy,33,2018
Paulo Dybala,Second Striker,1993-11-15,Argentina,10,2018
Cristiano Ronaldo,Centre-Forward,1985-02-05,Portugal,7,2018
