Date,HomeTeam,AwayTeam,FTR
2018-08-10,Zwolle,Heerenveen,A
2018-08-11,Ajax,Heracles Almeno,D
2018-08-11,Excelsior,Fortuna Sittard,D
2018-08-11,PSV Eindhoven,Utrecht,H
2018-08-11,Willem II,VVV-Venlo,A
2018-08-12,AZ Alkmaar,NAC Breda,H
2018-08-12,ADO Den Haag,Emmen,A
2018-08-12,De Graafschap,Feyenoord,H
2018-08-12,Vitesse,Groningen,H
2018-08-17,Groningen,Willem II,A
2018-08-18,Heracles Almeno,ADO Den Haag,H
2018-08-18,NAC Breda,De Graafschap,H
2018-08-18,Fortuna Sittard,PSV Eindhoven,A
2018-08-18,VVV-Venlo,Ajax,A
2018-08-19,Emmen,AZ Alkmaar,A
2018-08-19,Feyenoord,Excelsior,H
2018-08-19,Heerenveen,Vitesse,D
2018-08-19,Utrecht,Zwolle,H
2018-08-24,ADO Den Haag,Fortuna Sittard,H
2018-08-25,Ajax,Emmen,H
2018-08-25,De Graafschap,Groningen,A
2018-08-25,NAC Breda,Excelsior,A
2018-08-25,Zwolle,PSV Eindhoven,A
2018-08-26,AZ Alkmaar,Vitesse,D
2018-08-26,Heerenveen,Feyenoord,A
2018-08-26,Utrecht,VVV-Venlo,D
2018-08-26,Willem II,Heracles Almeno,H
2018-08-31,Emmen,De Graafschap,D
2018-09-01,Excelsior,ADO Den Haag,A
2018-09-01,Fortuna Sittard,Utrecht,D
2018-09-01,PSV Eindhoven,Willem II,H
2018-09-01,VVV-Venlo,Heerenveen,D
2018-09-02,Feyenoord,NAC Breda,H
2018-09-02,Groningen,Zwolle,A
2018-09-02,Heracles Almeno,AZ Alkmaar,H
2018-09-02,Vitesse,Ajax,A
2018-09-15,Ajax,Groningen,H
2018-09-15,ADO Den Haag,PSV Eindhoven,A
2018-09-15,De Graafschap,VVV-Venlo,A
2018-09-15,Willem II,Excelsior,D
2018-09-16,AZ Alkmaar,Feyenoord,D
2018-09-16,Heerenveen,Heracles Almeno,A
2018-09-16,NAC Breda,Fortuna Sittard,A
2018-09-16,Utrecht,Emmen,A
2018-09-16,Zwolle,Vitesse,A
2018-09-21,Heracles Almeno,De Graafschap,H
2018-09-22,Excelsior,Heerenveen,D
2018-09-22,Fortuna Sittard,Willem II,D
2018-09-22,Vitesse,ADO Den Haag,D
2018-09-22,VVV-Venlo,NAC Breda,H
2018-09-23,Emmen,Zwolle,A
2018-09-23,Feyenoord,Utrecht,H
2018-09-23,Groningen,AZ Alkmaar,A
2018-09-23,PSV Eindhoven,Ajax,H
2018-09-29,Excelsior,VVV-Venlo,H
2018-09-29,Fortuna Sittard,Ajax,A
2018-09-29,Heerenveen,ADO Den Haag,D
2018-09-29,NAC Breda,PSV Eindhoven,A
2018-09-30,AZ Alkmaar,Zwolle,D
2018-09-30,Feyenoord,Vitesse,H
2018-09-30,De Graafschap,Willem II,H
2018-09-30,Groningen,Utrecht,D
2018-09-30,Heracles Almeno,Emmen,H
2018-10-05,Utrecht,NAC Breda,H
2018-10-06,ADO Den Haag,Groningen,H
2018-10-06,De Graafschap,Heerenveen,A
2018-10-06,PSV Eindhoven,VVV-Venlo,H
2018-10-06,Zwolle,Excelsior,H
2018-10-07,Ajax,AZ Alkmaar,H
2018-10-07,Emmen,Fortuna Sittard,D
2018-10-07,Vitesse,Heracles Almeno,H
2018-10-07,Willem II,Feyenoord,D
2018-10-20,Excelsior,Vitesse,H
2018-10-20,Heerenveen,Ajax,A
2018-10-20,PSV Eindhoven,Emmen,H
2018-10-20,Utrecht,AZ Alkmaar,H
2018-10-21,Feyenoord,Zwolle,H
2018-10-21,Fortuna Sittard,De Graafschap,H
2018-10-21,Heracles Almeno,Groningen,H
2018-10-21,NAC Breda,Willem II,D
2018-10-21,VVV-Venlo,ADO Den Haag,H
2018-10-26,Emmen,VVV-Venlo,D
2018-10-27,ADO Den Haag,NAC Breda,D
2018-10-27,De Graafschap,Excelsior,H
2018-10-27,Groningen,PSV Eindhoven,A
2018-10-27,Zwolle,Heracles Almeno,D
2018-10-28,Ajax,Feyenoord,H
2018-10-28,AZ Alkmaar,Heerenveen,A
2018-10-28,Vitesse,Fortuna Sittard,H
2018-10-28,Willem II,Utrecht,A
2018-11-02,Excelsior,Groningen,A
2018-11-03,Ajax,Willem II,H
2018-11-03,AZ Alkmaar,De Graafschap,H
2018-11-03,NAC Breda,Heracles Almeno,H
2018-11-03,PSV Eindhoven,Vitesse,H
2018-11-04,Fortuna Sittard,Zwolle,H
2018-11-04,Heerenveen,Emmen,D
2018-11-04,Utrecht,ADO Den Haag,H
2018-11-09,Zwolle,Willem II,A
2018-11-10,Emmen,NAC Breda,H
2018-11-10,De Graafschap,PSV Eindhoven,A
2018-11-10,Vitesse,Utrecht,H
2018-11-10,VVV-Venlo,Fortuna Sittard,H
2018-11-11,ADO Den Haag,AZ Alkmaar,A
2018-11-11,Excelsior,Ajax,A
2018-11-11,Groningen,Heerenveen,H
2018-11-11,Heracles Almeno,Feyenoord,A
2018-11-24,Fortuna Sittard,Heracles Almeno,H
2018-11-24,NAC Breda,Ajax,A
2018-11-24,PSV Eindhoven,Heerenveen,H
2018-11-24,Zwolle,ADO Den Haag,A
2018-11-25,Emmen,Excelsior,A
2018-11-25,Feyenoord,Groningen,H
2018-11-25,Utrecht,De Graafschap,H
2018-11-25,VVV-Venlo,AZ Alkmaar,D
2018-11-25,Willem II,Vitesse,A
2018-11-30,Excelsior,Utrecht,D
2018-12-01,AZ Alkmaar,Willem II,A
2018-12-01,De Graafschap,Zwolle,A
2018-12-01,Heerenveen,Fortuna Sittard,H
2018-12-01,Vitesse,Emmen,D
2018-12-02,Ajax,ADO Den Haag,H
2018-12-02,Feyenoord,PSV Eindhoven,H
2018-12-02,Groningen,NAC Breda,H
2018-12-02,Heracles Almeno,VVV-Venlo,H
2018-12-06,Feyenoord,VVV-Venlo,H
2018-12-07,Fortuna Sittard,AZ Alkmaar,A
2018-12-07,PSV Eindhoven,Excelsior,H
2018-12-08,ADO Den Haag,De Graafschap,D
2018-12-08,Willem II,Heerenveen,A
2018-12-08,Zwolle,Ajax,A
2018-12-09,Emmen,Feyenoord,A
2018-12-09,NAC Breda,Vitesse,H
2018-12-09,Utrecht,Heracles Almeno,H
2018-12-09,VVV-Venlo,Groningen,D
2018-12-14,Willem II,ADO Den Haag,A
2018-12-15,AZ Alkmaar,Excelsior,H
2018-12-15,Heracles Almeno,PSV Eindhoven,A
2018-12-15,Vitesse,VVV-Venlo,H
2018-12-15,Zwolle,NAC Breda,D
2018-12-16,Ajax,De Graafschap,H
2018-12-16,Feyenoord,Fortuna Sittard,A
2018-12-16,Groningen,Emmen,A
2018-12-16,Heerenveen,Utrecht,A
2018-12-21,VVV-Venlo,Zwolle,H
2018-12-22,Excelsior,Heracles Almeno,A
2018-12-22,Fortuna Sittard,Groningen,D
2018-12-22,NAC Breda,Heerenveen,H
2018-12-22,PSV Eindhoven,AZ Alkmaar,H
2018-12-23,ADO Den Haag,Feyenoord,D
2018-12-23,Emmen,Willem II,A
2018-12-23,De Graafschap,Vitesse,D
2018-12-23,Utrecht,Ajax,A
2019-01-18,Vitesse,Excelsior,H
2019-01-19,AZ Alkmaar,Utrecht,H
2019-01-19,ADO Den Haag,VVV-Venlo,A
2019-01-19,Groningen,Heracles Almeno,H
2019-01-19,Zwolle,Feyenoord,H
2019-01-20,Ajax,Heerenveen,D
2019-01-20,Emmen,PSV Eindhoven,D
2019-01-20,De Graafschap,Fortuna Sittard,H
2019-01-20,Willem II,NAC Breda,H
2019-01-25,NAC Breda,ADO Den Haag,D
2019-01-26,Excelsior,De Graafschap,H
2019-01-26,Heracles Almeno,Zwolle,A
2019-01-26,PSV Eindhoven,Groningen,H
2019-01-26,VVV-Venlo,Emmen,A
2019-01-27,Feyenoord,Ajax,H
2019-01-27,Fortuna Sittard,Vitesse,H
2019-01-27,Heerenveen,AZ Alkmaar,A
2019-01-27,Utrecht,Willem II,A
2019-02-01,De Graafschap,NAC Breda,H
2019-02-02,Ajax,VVV-Venlo,H
2019-02-02,AZ Alkmaar,Emmen,H
2019-02-02,Vitesse,Heerenveen,D
2019-02-02,Willem II,Groningen,A
2019-02-03,ADO Den Haag,Heracles Almeno,H
2019-02-03,Excelsior,Feyenoord,H
2019-02-03,PSV Eindhoven,Fortuna Sittard,H
2019-02-03,Zwolle,Utrecht,H
2019-02-08,NAC Breda,AZ Alkmaar,A
2019-02-09,Feyenoord,De Graafschap,H
2019-02-09,Heerenveen,Zwolle,D
2019-02-09,Heracles Almeno,Ajax,H
2019-02-09,VVV-Venlo,Willem II,H
2019-02-10,Emmen,ADO Den Haag,H
2019-02-10,Fortuna Sittard,Excelsior,H
2019-02-10,Groningen,Vitesse,H
2019-02-10,Utrecht,PSV Eindhoven,D
2019-02-15,ADO Den Haag,Zwolle,H
2019-02-16,AZ Alkmaar,VVV-Venlo,H
2019-02-16,Heerenveen,PSV Eindhoven,D
2019-02-16,Heracles Almeno,Fortuna Sittard,H
2019-02-16,Vitesse,Willem II,H
2019-02-17,Ajax,NAC Breda,H
2019-02-17,Excelsior,Emmen,H
2019-02-17,De Graafschap,Utrecht,A
2019-02-17,Groningen,Feyenoord,H
2019-02-22,VVV-Venlo,Heracles Almeno,A
2019-02-23,Fortuna Sittard,Heerenveen,A
2019-02-23,NAC Breda,Groningen,D
2019-02-23,Utrecht,Excelsior,D
2019-02-23,Zwolle,De Graafschap,A
2019-02-24,ADO Den Haag,Ajax,A
2019-02-24,Emmen,Vitesse,A
2019-02-24,PSV Eindhoven,Feyenoord,D
2019-02-24,Willem II,AZ Alkmaar,H
2019-03-01,De Graafschap,ADO Den Haag,D
2019-03-02,Excelsior,PSV Eindhoven,A
2019-03-02,Heracles Almeno,Utrecht,A
2019-03-02,Vitesse,NAC Breda,H
2019-03-03,AZ Alkmaar,Fortuna Sittard,H
2019-03-03,Feyenoord,Emmen,H
2019-03-03,Groningen,VVV-Venlo,H
2019-03-03,Heerenveen,Willem II,H
2019-03-08,Utrecht,Groningen,D
2019-03-09,ADO Den Haag,Heerenveen,A
2019-03-09,PSV Eindhoven,NAC Breda,H
2019-03-09,VVV-Venlo,Excelsior,H
2019-03-09,Willem II,De Graafschap,H
2019-03-10,Ajax,Fortuna Sittard,H
2019-03-10,Emmen,Heracles Almeno,D
2019-03-10,Vitesse,Feyenoord,D
2019-03-10,Zwolle,AZ Alkmaar,D
2019-03-13,Ajax,Zwolle,H
2019-03-15,Fortuna Sittard,Emmen,H
2019-03-16,Feyenoord,Willem II,A
2019-03-16,Heerenveen,De Graafschap,A
2019-03-16,Heracles Almeno,Vitesse,H
2019-03-16,NAC Breda,Utrecht,A
2019-03-17,AZ Alkmaar,Ajax,H
2019-03-17,Excelsior,Zwolle,A
2019-03-17,Groningen,ADO Den Haag,H
2019-03-17,VVV-Venlo,PSV Eindhoven,A
2019-03-30,AZ Alkmaar,Groningen,H
